180.700	Our First Power Moon
282.167	Multi Moon Atop the Falls
311.333	Above a High Cliff
405.533	Bird Traveling the Desert
416.233	A Rumble from the Sandy Floor
426.067	Overlooking the Desert Town
456.533	Hidden Room in the Flowing Sands
477.500	Sphynx's Treasure Vault
495.867	Lost in the Luggage
550.400	Secret of the Inverted Mural
573.433	Hidden Room in the Inverted Pyramid
602.733	On the Statue's Tail
664.267	Showdown on the Inverted Pyramid
722.467	Sand Kingdom Slots
744.300	Atop the Highest Tower
790.800	Goomba Tower Assembly
820.367	Underground Treasure Chest
936.233	The Hole in the Desert
1046.800	Beneath the Roots of a Moving Tree
1072.500	Glowing in the Deep Woods
1102.333	Rolling Rock in the Deep Woods
1120.500	By the Babbling Brook in the Deep Woods
1151.900	Atop a Tall Tree
1168.833	Tucked Away Inside a Tunnel
1190.300	Climb the Cliff to Get the Nut
1214.400	The Nut at the Dead End
1228.167	Road to Sky Garden
1255.967	Cracked Nut on a Crumbling Tower
1281.067	Nut Planted in the Tower
1287.300	Stretching Your Legs
1428.900	End of the Hidden Passage
1438.633	Cheep Cheep Crossing
1449.367	Dorrie-Back Rider
1465.167	From the Broken Pillar
1512.333	Broodals Over the Lake
1540.600	On the Lakeshore
1687.467	On the Mountain Road
1708.033	A Butterfly's Treasure
1714.367	Over the Fuzzies, Above the Swamp
1726.867	Avoiding Fuzzies Inside the Wall
1751.800	Shopping on Forgotten Isle
1761.733	Enjoying the View of Forgotten Isle
1773.400	Cave Gardening
1782.433	On a Tree in the Swamp
1796.000	Inside the Stone Cage
1805.000	The Caged Gold
1810.467	Peeking Out from Under the Bridge
1831.000	Soaring Over the Forgotten Isle!
1851.800	Twist ‘n' Turn-Up Treasure
1931.900	Girder Sandwich
1950.167	Swaying in the Breeze
1980.400	City Hall Lost & Found
2086.133	New Donk City's Pest Problem
2116.433	Secret Girder Tunnel!
2147.033	Bench Friends
2173.233	Drummer on Board!
2203.233	Bassist on Board!
2234.633	Guitarist on Board!
2256.667	Glittering Above the Pool
2266.767	Left at the Cafe?
2287.600	Trumpeter on Board!
2332.767	Sewer Treasure
2357.067	Powering Up the Station
2446.933	Celebrating in the Streets!
2512.367	A Traditional Festival!
2542.233	A Tourist in the Metro Kingdom!
2633.800	Entrance to Shiveria
2654.900	Shopping in Shiveria
2669.700	The Shiverian Treasure Chest
2683.800	Shining in the Snow in Town
2841.767	The Bound Bowl Grand Prix
2871.133	Snow Kingdom Timer Challenge 2
2887.767	Caught Hopping in the Snow!
2906.733	Fishing in the Glacier!
2978.033	A Rumble from the Sandy Floor
3077.367	Taking Notes: Ocean Surface Dash
3095.333	Ride the Jetstream
3107.800	On the Cliff Overlooking the Beach
3124.067	Good Job, Captain Toad!
3137.267	The Seal Above the Canyon
3169.867	The Back Canyon: Excavate!
3188.067	What the Waves Left Behind
3201.467	The Hot Spring Seal
3314.333	The Glass Is Half Full!
3401.800	Luncheon Kingdom Timer Challenge 1
3450.467	The Broodals Are After Some Cookin'
3502.900	Under the Cheese Rocks
3530.700	Light the Lantern on the Small Island
3552.367	Crossing to the Magma
3562.233	Magma Narrow Path
3579.300	Surrounded by Tall Mountains
3611.333	Big Pot on the Volcano: Dive In!
3645.500	The Treasure Chest in the Veggies
3680.900	Overlooking a Bunch of Ingredients
3700.600	Alcove Behind the Pillars of Magma
3717.100	Climb Up the Cascading Magma
3749.100	Light the Far-Off Lanterns
3857.567	Cookatiel Showdown!
3936.233	In the Ancient Treasure Chest
4066.067	Battle with the Lord of Lightning!
4143.967	Behind the Big Wall
4176.100	Infiltrate Bowser's Castle
4244.200	Poking the Turret Wall
4253.100	Treasure Inside the Turret
4266.967	Smart Bombing
4290.767	From the Side above the Castle Gate
4324.667	Underground Jizo
4331.233	Jizo All in a Row
4434.600	Big Broodal Battle
4468.400	Hidden Corridor Under the Floor
4502.167	Good to See You, Captain Toad!
4512.733	Inside a Block in the Castle
4550.900	Poking Your Nose by the Great Gate
4566.167	On the Giant Bowser Statue's Nose
4664.800	Showdown at Bowser's Castle
4696.033	Caught on the Iron Fence
4778.800	Caught Hopping on the Moon!
4789.733	Rolling Rock on the Moon
4809.133	Cliffside Treasure Chest
4860.567	The Tip of a White Spire
4880.033	Up in the Rafters
5246.700	Light from the Ceiling
5261.433	Loose-Tile Trackdown
5284.633	Pops out of the Tail
5308.067	Secret Path to Shiveria!
5339.700	Captain Toad is Chilly!
5385.100	Snow Kingdom Timer Challenge 1
5396.167	Above the Freezing Fish Pond
5409.033	Ice Floe Swimming
5423.033	Deep in the Cold, Cold Water
5440.933	Snow Kingdom Timer Challenge 3
5454.200	It Popped Out of the Ice
5479.700	Peach in the Snow Kingdom
5501.433	Icy Jump Challenge
5510.700	Atop a Blustery Arch
5532.033	The Gusty Barrier
5570.400	Behind the Snowy Mountain
5593.433	The Snowy Mountain Barrier
5585.000	Squirming Under the Ice
5621.367	Water Pooling in the Crevasse
5637.367	Treasure in the Ice Wall
5648.033	The Ice Wall Barrier
5678.700	Hat-and-Seek in the Snow
5696.933	Forgotten in the Holding Room
5710.633	Shining on High
5750.633	Secret Path to Fossil Falls!
5785.033	Cascade Kingdom Timer Challenge 2
5794.200	Across the Floating Isles
5818.833	Good Morning, Captain Toad!
5830.567	Chomp Through the Rocks
5860.167	Atop a Wall Among the Clouds
5877.633	Cascade Kingdom Master Cup
5892.600	Treasure Under the Cliff
5906.033	Just a Hat, Skip, and a Jump
5938.367	Behind the Waterfall
5948.467	Taking Notes: Hurry Upward
