177.967	Our First Power Moon
268.700	Multi Moon Atop the Falls
297.967	Treasure of the Waterfall Basin
386.300	Overlooking the Desert Town
392.200	Bird Traveling the Desert
402.833	A Rumble from the Sandy Floor
438.100	Hidden Room in the Flowing Sands
458.267	Sphynx's Treasure Vault
474.833	Lost in the Luggage
527.700	Secret of the Inverted Mural
550.767	Hidden Room in the Inverted Pyramid
580.200	On the Statue's Tail
638.900	Showdown on the Inverted Pyramid
696.767	Sand Kingdom Slots
718.267	Atop the Highest Tower
764.267	Goomba Tower Assembly
792.300	Underground Treasure Chest
906.333	The Hole in the Desert
1016.967	Beneath the Roots of a Moving Tree
1044.467	Glowing in the Deep Woods
1069.200	The Hard Rock in Deep Woods
1077.733	Rolling Rock by the Falls
1095.633	By the Babbling Brook in the Deep Woods
1125.800	Atop a Tall Tree
1141.633	Tucked Away Inside a Tunnel
1162.900	Climb the Cliff to Get the Nut
1185.167	The Nut at the Dead End
1197.967	Road to Sky Garden
1225.400	Cracked Nut on a Crumbling Tower
1250.567	Nut Planted in the Tower
1259.167	Stretching Your Legs
1312.367	Flower Thieves of Sky Garden
1398.733	End of the Hidden Passage
1409.167	Cheep Cheep Crossing
1436.100	From the Broken Pillar
1483.967	Broodals Over the Lake
1511.367	On the Lakeshore
1653.667	On the Mountain Road
1673.900	A Butterfly's Treasure
1679.967	Over the Fuzzies, Above the Swamp
1692.867	Avoiding Fuzzies Inside the Wall
1706.300	Enjoying the View of Forgotten Isle
1717.100	Cave Gardening
1726.500	On a Tree in the Swamp
1740.100	Inside the Stone Cage
1749.667	The Caged Gold
1754.767	Peeking Out from Under the Bridge
1793.700	Twist ‘n' Turn-Up Treasure
1871.467	Girder Sandwich
1887.867	Swaying in the Breeze
1917.733	City Hall Lost & Found
2021.633	New Donk City's Pest Problem
2051.733	Secret Girder Tunnel!
2082.100	Bench Friends
2106.667	Drummer on Board!
2135.600	Bassist on Board!
2169.900	Guitarist on Board!
2191.467	Glittering Above the Pool
2201.633	Left at the Cafe?
